MASS,date,ind
50.0,2017-09-05,0
45.0,2017-09-06,1
40.0,2017-09-07,2
35.0,2017-09-08,3
45.0,2017-09-11,4
55.0,2017-09-12,5
60.0,2017-09-13,6
60.0,2017-09-14,7
55.0,2017-09-15,8
45.0,2017-09-18,9
45.0,2017-09-19,10
35.0,2017-09-20,11
30.0,2017-09-21,12
10.0,2017-09-22,13
5.0,2017-09-25,14
10.0,2017-09-26,15
10.0,2017-09-27,16
5.0,2017-09-28,17
20.0,2017-09-29,18
25.0,2017-10-09,19
25.0,2017-10-10,20
20.0,2017-10-11,21
15.0,2017-10-12,22
30.0,2017-10-13,23
30.0,2017-10-16,24
25.0,2017-10-17,25
30.0,2017-10-18,26
20.0,2017-10-19,27
20.0,2017-10-20,28
25.0,2017-10-23,29
25.0,2017-10-24,30
30.0,2017-10-25,31
25.0,2017-10-26,32
15.0,2017-10-27,33
10.0,2017-10-30,34
5.0,2017-10-31,35
0.0,2017-11-01,36
0.0,2017-11-02,37
0.0,2017-11-03,38
5.0,2017-11-06,39
10.0,2017-11-07,40
10.0,2017-11-08,41
10.0,2017-11-09,42
5.0,2017-11-10,43
5.0,2017-11-13,44
15.0,2017-11-14,45
10.0,2017-11-15,46
5.0,2017-11-16,47
0.0,2017-11-17,48
0.0,2017-11-20,49
0.0,2017-11-21,50
5.0,2017-11-22,51
20.0,2017-11-23,52
25.0,2017-11-24,53
25.0,2017-11-27,54
35.0,2017-11-28,55
35.0,2017-11-29,56
25.0,2017-11-30,57
30.0,2017-12-01,58
25.0,2017-12-04,59
25.0,2017-12-05,60
30.0,2017-12-06,61
30.0,2017-12-07,62
35.0,2017-12-08,63
45.0,2017-12-11,64
40.0,2017-12-12,65
50.0,2017-12-13,66
55.0,2017-12-14,67
55.0,2017-12-15,68
55.0,2017-12-18,69
55.0,2017-12-19,70
40.0,2017-12-20,71
35.0,2017-12-21,72
35.0,2017-12-22,73
30.0,2017-12-25,74
30.0,2017-12-26,75
25.0,2017-12-27,76
30.0,2017-12-28,77
35.0,2017-12-29,78
40.0,2018-01-02,79
70.0,2018-01-03,80
85.0,2018-01-04,81
85.0,2018-01-05,82
85.0,2018-01-08,83
75.0,2018-01-09,84
70.0,2018-01-10,85
65.0,2018-01-11,86
60.0,2018-01-12,87
55.0,2018-01-15,88
55.0,2018-01-16,89
55.0,2018-01-17,90
50.0,2018-01-18,91
50.0,2018-01-19,92
55.0,2018-01-22,93
50.0,2018-01-23,94
50.0,2018-01-24,95
50.0,2018-01-25,96
35.0,2018-01-26,97
20.0,2018-01-29,98
15.0,2018-01-30,99
10.0,2018-01-31,100
10.0,2018-02-01,101
10.0,2018-02-02,102
10.0,2018-02-05,103
0.0,2018-02-06,104
0.0,2018-02-07,105
10.0,2018-02-08,106
0.0,2018-02-09,107
5.0,2018-02-12,108
10.0,2018-02-13,109
15.0,2018-02-14,110
20.0,2018-02-22,111
35.0,2018-02-23,112
45.0,2018-02-26,113
45.0,2018-02-27,114
45.0,2018-02-28,115
45.0,2018-03-01,116
60.0,2018-03-02,117
60.0,2018-03-05,118
70.0,2018-03-06,119
70.0,2018-03-07,120
80.0,2018-03-08,121
85.0,2018-03-09,122
90.0,2018-03-12,123
80.0,2018-03-13,124
75.0,2018-03-14,125
75.0,2018-03-15,126
65.0,2018-03-16,127
65.0,2018-03-19,128
60.0,2018-03-20,129
65.0,2018-03-21,130
60.0,2018-03-22,131
60.0,2018-03-23,132
65.0,2018-03-26,133
70.0,2018-03-27,134
75.0,2018-03-28,135
70.0,2018-03-29,136
75.0,2018-03-30,137
70.0,2018-04-02,138
60.0,2018-04-03,139
50.0,2018-04-04,140
45.0,2018-04-09,141
50.0,2018-04-10,142
45.0,2018-04-11,143
40.0,2018-04-12,144
20.0,2018-04-13,145
25.0,2018-04-16,146
0.0,2018-04-17,147
0.0,2018-04-18,148
10.0,2018-04-19,149
15.0,2018-04-20,150
15.0,2018-04-23,151
20.0,2018-04-24,152
10.0,2018-04-25,153
10.0,2018-04-26,154
20.0,2018-04-27,155
10.0,2018-05-02,156
10.0,2018-05-03,157
10.0,2018-05-04,158
20.0,2018-05-07,159
30.0,2018-05-08,160
35.0,2018-05-09,161
30.0,2018-05-10,162
30.0,2018-05-11,163
25.0,2018-05-14,164
20.0,2018-05-15,165
25.0,2018-05-16,166
20.0,2018-05-17,167
20.0,2018-05-18,168
30.0,2018-05-21,169
45.0,2018-05-22,170
45.0,2018-05-23,171
40.0,2018-05-24,172
45.0,2018-05-25,173
30.0,2018-05-28,174
30.0,2018-05-29,175
10.0,2018-05-30,176
5.0,2018-05-31,177
0.0,2018-06-01,178
0.0,2018-06-04,179
