open,high,close,low,date,ind
21.62,21.8,21.66,21.49,2017-08-08,0
21.62,21.62,21.4,21.23,2017-08-09,1
21.45,22.2,22.05,21.36,2017-08-10,2
21.85,22.09,21.23,21.1,2017-08-11,3
21.1,21.56,21.5,20.93,2017-08-14,4
21.52,21.68,21.44,21.34,2017-08-15,5
21.37,22.07,21.89,21.35,2017-08-16,6
21.8,22.05,21.88,21.65,2017-08-17,7
21.75,22.98,22.4,21.51,2017-08-18,8
22.6,22.88,22.71,22.14,2017-08-21,9
22.55,24.98,24.35,22.38,2017-08-22,10
23.9,24.06,23.07,22.85,2017-08-23,11
22.87,23.25,22.62,22.47,2017-08-24,12
22.5,23.6,23.37,22.5,2017-08-25,13
23.45,23.7,23.5,23.05,2017-08-28,14
23.45,23.85,23.06,23.04,2017-08-29,15
23.25,24.6,24.15,23.21,2017-08-30,16
24.16,25.88,25.62,23.78,2017-08-31,17
25.33,25.5,25.04,24.78,2017-09-01,18
24.45,24.45,23.76,23.3,2017-09-04,19
23.76,24.32,23.95,23.31,2017-09-05,20
23.51,24.88,24.51,23.38,2017-09-06,21
24.41,26.9,25.57,24.2,2017-09-07,22
25.5,27.47,26.93,25.32,2017-09-08,23
26.9,27.55,27.09,26.56,2017-09-11,24
27.18,28.55,27.46,26.31,2017-09-12,25
27.2,27.85,26.95,26.66,2017-09-13,26
26.7,27.1,26.73,26.42,2017-09-14,27
26.58,27.76,26.89,26.33,2017-09-15,28
26.66,26.66,25.95,25.53,2017-09-18,29
25.95,26.52,25.74,25.53,2017-09-19,30
25.66,26.08,25.89,25.35,2017-09-20,31
26.03,28.48,27.73,25.7,2017-09-21,32
27.0,27.18,26.18,25.87,2017-09-22,33
25.78,26.16,24.91,24.67,2017-09-25,34
24.87,26.66,26.52,24.85,2017-09-26,35
26.52,29.01,28.26,26.52,2017-09-27,36
27.58,28.1,27.28,27.11,2017-09-28,37
27.49,27.88,27.79,27.04,2017-09-29,38
27.8,28.22,27.35,27.0,2017-10-09,39
27.12,27.49,27.12,26.75,2017-10-10,40
27.26,27.37,26.31,26.02,2017-10-11,41
26.28,26.51,26.26,25.92,2017-10-12,42
26.26,26.54,26.35,26.14,2017-10-13,43
26.4,26.48,25.19,25.03,2017-10-16,44
25.3,25.88,25.43,25.23,2017-10-17,45
25.63,26.41,25.69,25.5,2017-10-18,46
25.61,27.2,27.16,25.61,2017-10-19,47
29.2,29.83,28.33,27.85,2017-10-20,48
29.0,31.16,29.79,28.9,2017-10-23,49
28.2,28.75,28.05,27.22,2017-10-24,50
27.86,30.45,29.73,27.54,2017-10-25,51
29.3,32.7,32.41,28.92,2017-10-26,52
31.45,33.2,33.11,31.45,2017-10-27,53
32.56,34.4,32.06,31.85,2017-10-30,54
32.62,35.22,34.44,32.2,2017-10-31,55
33.85,34.34,33.83,33.1,2017-11-01,56
31.8,31.8,30.45,30.45,2017-11-02,57
28.86,29.62,28.15,28.03,2017-11-03,58
28.67,28.74,28.18,27.76,2017-11-06,59
28.6,29.37,28.98,28.42,2017-11-07,60
28.8,29.7,29.04,28.11,2017-11-08,61
28.88,29.09,28.37,27.76,2017-11-09,62
28.78,28.99,28.09,27.88,2017-11-10,63
28.61,29.23,28.25,28.09,2017-11-13,64
28.0,29.89,29.34,27.68,2017-11-14,65
29.3,29.3,28.46,28.3,2017-11-15,66
28.1,28.72,28.17,28.0,2017-11-16,67
28.0,28.15,26.08,25.91,2017-11-17,68
25.55,25.58,25.09,23.46,2017-11-20,69
24.6,25.98,25.28,24.56,2017-11-21,70
25.21,25.9,25.26,24.84,2017-11-22,71
25.3,25.43,24.03,23.98,2017-11-23,72
24.1,24.7,24.45,24.09,2017-11-24,73
24.4,24.95,24.21,24.01,2017-11-27,74
24.01,24.9,24.7,24.0,2017-11-28,75
24.66,24.8,24.29,23.96,2017-11-29,76
24.37,24.76,24.25,24.05,2017-11-30,77
24.04,24.49,24.18,24.04,2017-12-01,78
23.91,24.15,22.92,22.85,2017-12-04,79
22.91,23.26,21.7,21.65,2017-12-05,80
21.66,22.1,22.06,21.51,2017-12-06,81
21.98,22.48,22.26,21.92,2017-12-07,82
22.4,22.9,22.61,22.04,2017-12-08,83
22.61,22.94,22.75,22.5,2017-12-11,84
22.61,24.14,23.98,22.61,2017-12-12,85
23.99,24.38,23.81,23.6,2017-12-13,86
23.65,23.77,23.47,23.22,2017-12-14,87
23.4,23.4,23.0,22.85,2017-12-15,88
23.0,23.49,23.13,22.83,2017-12-18,89
23.23,23.66,23.46,23.23,2017-12-19,90
23.61,23.96,23.33,23.2,2017-12-20,91
23.39,23.5,23.21,22.86,2017-12-21,92
23.21,23.39,22.99,22.9,2017-12-22,93
22.81,22.93,21.51,21.11,2017-12-25,94
21.73,22.66,22.23,21.73,2017-12-26,95
22.25,22.57,22.13,21.8,2017-12-27,96
22.23,22.84,22.24,22.12,2017-12-28,97
22.34,22.46,22.31,22.02,2017-12-29,98
22.3,22.54,22.42,22.05,2018-01-02,99
22.42,22.83,22.79,22.18,2018-01-03,100
22.79,25.07,25.07,22.51,2018-01-04,101
24.0,25.4,24.51,23.7,2018-01-05,102
24.12,24.95,24.71,24.01,2018-01-08,103
24.6,24.78,23.96,23.82,2018-01-09,104
24.1,24.6,23.8,23.4,2018-01-10,105
23.67,23.85,23.67,23.21,2018-01-11,106
23.7,25.15,24.24,23.42,2018-01-12,107
24.01,24.23,23.43,23.3,2018-01-15,108
23.4,24.6,24.4,23.3,2018-01-16,109
24.42,24.92,24.6,23.8,2018-01-17,110
24.4,24.88,24.6,24.3,2018-01-18,111
24.6,25.34,25.13,24.42,2018-01-19,112
25.14,25.4,25.13,24.75,2018-01-22,113
25.15,25.53,25.5,24.93,2018-01-23,114
25.49,26.28,25.29,25.2,2018-01-24,115
24.99,24.99,24.37,24.23,2018-01-25,116
24.27,24.74,24.49,24.22,2018-01-26,117
24.4,24.63,23.77,23.72,2018-01-29,118
23.71,24.08,23.83,23.7,2018-01-30,119
23.85,23.98,23.72,23.31,2018-01-31,120
23.71,23.86,22.42,22.22,2018-02-01,121
22.4,22.7,22.62,21.53,2018-02-02,122
22.45,23.39,23.27,22.25,2018-02-05,123
22.8,23.55,22.29,22.2,2018-02-06,124
22.69,23.11,21.8,21.29,2018-02-07,125
21.79,22.09,21.88,21.75,2018-02-08,126
21.2,21.46,20.36,20.19,2018-02-09,127
20.7,21.4,21.19,20.63,2018-02-12,128
21.4,21.9,21.48,21.31,2018-02-13,129
21.49,21.99,21.92,21.48,2018-02-14,130
22.25,22.76,22.28,22.02,2018-02-22,131
22.88,23.37,22.82,22.71,2018-02-23,132
22.8,23.78,23.53,22.8,2018-02-26,133
23.53,25.88,24.16,23.53,2018-02-27,134
24.31,24.4,24.02,23.3,2018-02-28,135
23.69,24.48,24.18,23.56,2018-03-01,136
23.9,24.39,24.33,23.63,2018-03-02,137
24.48,24.48,24.13,23.91,2018-03-05,138
24.2,24.28,24.03,23.82,2018-03-06,139
24.06,24.28,23.9,23.89,2018-03-07,140
23.82,24.1,23.99,23.71,2018-03-08,141
23.91,24.03,23.88,23.74,2018-03-09,142
23.87,24.45,24.04,23.84,2018-03-12,143
24.0,24.75,24.6,23.94,2018-03-13,144
25.9,26.88,24.51,24.4,2018-03-14,145
23.9,24.76,24.1,23.53,2018-03-15,146
25.99,26.3,25.2,25.0,2018-03-16,147
25.01,27.58,27.15,24.93,2018-03-19,148
26.51,26.88,26.59,26.12,2018-03-20,149
26.45,27.12,26.0,25.8,2018-03-21,150
25.81,26.8,26.58,25.71,2018-03-22,151
25.2,25.49,23.93,23.93,2018-03-23,152
23.29,24.3,24.07,22.15,2018-03-26,153
24.33,25.54,24.97,24.33,2018-03-27,154
24.25,24.73,24.72,24.1,2018-03-28,155
24.68,25.23,24.92,24.65,2018-03-29,156
24.93,25.17,24.95,24.83,2018-03-30,157
24.55,24.92,24.89,24.45,2018-04-02,158
24.7,26.5,25.84,24.62,2018-04-03,159
25.83,26.5,26.13,25.51,2018-04-04,160
26.05,27.33,27.14,26.05,2018-04-09,161
27.2,27.78,26.2,25.51,2018-04-10,162
26.56,27.42,26.7,26.31,2018-04-11,163
26.2,26.29,25.87,25.8,2018-04-12,164
26.37,26.99,25.9,25.85,2018-04-13,165
25.63,25.63,24.81,24.63,2018-04-16,166
24.72,25.05,24.35,24.24,2018-04-17,167
24.61,24.8,24.17,23.69,2018-04-18,168
24.05,24.35,24.3,23.94,2018-04-19,169
24.2,24.24,23.3,23.25,2018-04-20,170
23.65,23.65,23.19,22.85,2018-04-23,171
23.29,23.92,23.79,23.1,2018-04-24,172
23.74,24.07,23.92,23.48,2018-04-25,173
24.0,24.28,23.68,23.67,2018-04-26,174
23.62,24.04,23.99,23.6,2018-04-27,175
23.99,23.99,23.08,22.91,2018-05-02,176
23.15,23.78,23.73,23.15,2018-05-03,177
23.75,23.96,23.46,23.42,2018-05-04,178
23.5,23.65,23.56,23.1,2018-05-07,179
23.6,23.95,23.95,23.39,2018-05-08,180
23.72,23.92,23.72,23.67,2018-05-09,181
23.7,23.92,23.76,23.65,2018-05-10,182
23.91,23.91,23.61,23.44,2018-05-11,183
23.59,24.95,24.71,23.5,2018-05-14,184
25.49,25.6,24.72,24.49,2018-05-15,185
24.5,24.52,24.21,24.03,2018-05-16,186
24.01,24.3,23.71,23.69,2018-05-17,187
23.5,23.9,23.79,23.21,2018-05-18,188
23.99,24.19,23.95,23.71,2018-05-21,189
23.82,24.09,23.82,23.55,2018-05-22,190
23.63,23.7,23.34,23.32,2018-05-23,191
23.46,23.55,23.28,23.26,2018-05-24,192
24.21,25.0,23.77,23.72,2018-05-25,193
23.32,23.63,23.1,23.01,2018-05-28,194
23.04,23.24,22.92,22.82,2018-05-29,195
22.48,22.68,21.69,21.66,2018-05-30,196
21.88,22.25,22.08,21.8,2018-05-31,197
22.12,22.12,21.73,21.61,2018-06-01,198
21.82,22.07,21.73,21.53,2018-06-04,199
