open,high,close,low,date,ind
3724.33,3737.33,3732.21,3718.81,2017-08-08,0
3728.03,3739.0,3731.04,3713.57,2017-08-09,1
3724.96,3746.86,3715.92,3688.18,2017-08-10,2
3687.93,3700.49,3647.35,3645.09,2017-08-11,3
3651.38,3698.37,3694.68,3651.38,2017-08-14,4
3695.78,3719.29,3706.06,3692.28,2017-08-15,5
3701.13,3707.14,3701.42,3679.73,2017-08-16,6
3707.07,3722.62,3721.28,3704.41,2017-08-17,7
3707.19,3733.49,3724.67,3700.41,2017-08-18,8
3731.84,3744.26,3740.99,3728.62,2017-08-21,9
3745.75,3758.29,3752.3,3734.56,2017-08-22,10
3747.61,3772.46,3756.09,3741.72,2017-08-23,11
3755.89,3765.71,3734.65,3729.09,2017-08-24,12
3736.29,3795.97,3795.75,3736.29,2017-08-25,13
3805.66,3866.94,3842.71,3805.66,2017-08-28,14
3839.18,3847.93,3834.54,3825.76,2017-08-29,15
3834.27,3854.71,3834.3,3827.86,2017-08-30,16
3835.84,3840.2,3822.09,3800.89,2017-08-31,17
3825.34,3843.62,3830.54,3818.16,2017-09-01,18
3828.54,3847.09,3845.62,3813.55,2017-09-04,19
3845.55,3865.29,3857.05,3841.95,2017-09-05,20
3846.75,3858.25,3849.45,3831.38,2017-09-06,21
3851.69,3858.16,3829.87,3828.84,2017-09-07,22
3830.07,3843.02,3825.99,3813.98,2017-09-08,23
3828.34,3850.74,3825.65,3817.51,2017-09-11,24
3832.24,3849.39,3837.93,3822.0,2017-09-12,25
3835.55,3847.78,3842.61,3822.94,2017-09-13,26
3843.57,3854.49,3829.96,3820.09,2017-09-14,27
3826.14,3843.3,3831.3,3818.52,2017-09-15,28
3832.96,3862.36,3843.14,3832.96,2017-09-18,29
3849.88,3857.3,3832.12,3820.29,2017-09-19,30
3830.15,3850.94,3842.44,3827.89,2017-09-20,31
3843.26,3860.8,3837.82,3837.38,2017-09-21,32
3826.46,3842.25,3837.73,3816.82,2017-09-22,33
3829.22,3835.39,3817.79,3811.12,2017-09-25,34
3810.33,3821.69,3820.78,3808.38,2017-09-26,35
3818.96,3832.57,3821.2,3818.81,2017-09-27,36
3821.59,3827.33,3822.54,3813.75,2017-09-28,37
3825.2,3852.22,3836.5,3825.2,2017-09-29,38
3910.11,3918.84,3882.21,3876.03,2017-10-09,39
3883.0,3900.74,3889.86,3855.47,2017-10-10,40
3886.82,3913.07,3902.69,3885.5,2017-10-11,41
3902.02,3917.44,3912.95,3897.55,2017-10-12,42
3912.98,3927.17,3921.0,3908.89,2017-10-13,43
3926.28,3947.42,3913.45,3913.32,2017-10-16,44
3910.79,3924.61,3913.07,3900.48,2017-10-17,45
3914.82,3944.41,3944.16,3914.82,2017-10-18,46
3940.58,3944.03,3931.25,3923.65,2017-10-19,47
3918.53,3928.96,3926.85,3910.2,2017-10-20,48
3930.89,3936.27,3930.8,3920.66,2017-10-23,49
3926.23,3959.5,3959.4,3922.03,2017-10-24,50
3958.17,3978.09,3976.95,3954.0,2017-10-25,51
3980.05,4013.6,3993.58,3973.55,2017-10-26,52
3992.55,4024.46,4021.97,3991.35,2017-10-27,53
4022.16,4033.34,4009.72,3960.27,2017-10-30,54
