open,high,close,low,date,ind
3277.19,3285.48,3281.87,3269.66,2017-08-08,0
3277.81,3277.94,3275.57,3263.85,2017-08-09,1
3269.73,3282.52,3261.75,3236.18,2017-08-10,2
3237.92,3245.12,3208.54,3200.75,2017-08-11,3
3206.04,3240.05,3237.36,3206.04,2017-08-14,4
3235.23,3263.59,3251.26,3235.1,2017-08-15,5
3247.85,3248.79,3246.45,3228.87,2017-08-16,6
3253.85,3269.14,3268.43,3251.46,2017-08-17,7
3253.24,3275.08,3268.72,3248.08,2017-08-18,8
3274.58,3287.52,3286.91,3270.48,2017-08-21,9
3287.61,3293.48,3290.23,3274.94,2017-08-22,10
3283.8,3299.46,3287.7,3274.44,2017-08-23,11
3287.96,3297.99,3271.51,3266.36,2017-08-24,12
3271.46,3331.91,3331.52,3271.46,2017-08-25,13
3336.13,3375.03,3362.65,3336.13,2017-08-28,14
3362.06,3374.59,3365.23,3354.46,2017-08-29,15
3361.82,3376.65,3363.63,3357.08,2017-08-30,16
3361.46,3367.36,3360.81,3340.69,2017-08-31,17
3365.99,3381.93,3367.12,3358.47,2017-09-01,18
3369.72,3381.4,3379.58,3359.13,2017-09-04,19
3377.2,3390.82,3384.32,3371.57,2017-09-05,20
3372.43,3391.01,3385.39,3364.76,2017-09-06,21
3383.63,3387.8,3365.5,3363.18,2017-09-07,22
3364.43,3380.89,3365.24,3353.69,2017-09-08,23
3365.35,3384.81,3376.42,3360.05,2017-09-11,24
3381.49,3391.07,3379.49,3370.85,2017-09-12,25
3374.72,3387.14,3384.15,3366.54,2017-09-13,26
3383.47,3391.64,3371.43,3361.33,2017-09-14,27
3365.15,3365.53,3353.62,3345.33,2017-09-15,28
3352.51,3371.75,3362.86,3352.51,2017-09-18,29
3365.53,3370.4,3356.84,3344.71,2017-09-19,30
3352.18,3370.1,3366.0,3346.54,2017-09-20,31
3364.7,3377.88,3357.81,3356.88,2017-09-21,32
3347.16,3356.45,3352.53,3334.98,2017-09-22,33
