MASS,date,ind
95.0,2017-09-05,0
95.0,2017-09-06,1
80.0,2017-09-07,2
75.0,2017-09-08,3
80.0,2017-09-11,4
80.0,2017-09-12,5
80.0,2017-09-13,6
70.0,2017-09-14,7
60.0,2017-09-15,8
60.0,2017-09-18,9
55.0,2017-09-19,10
55.0,2017-09-20,11
50.0,2017-09-21,12
45.0,2017-09-22,13
25.0,2017-09-25,14
20.0,2017-09-26,15
15.0,2017-09-27,16
5.0,2017-09-28,17
15.0,2017-09-29,18
25.0,2017-10-09,19
40.0,2017-10-10,20
50.0,2017-10-11,21
55.0,2017-10-12,22
65.0,2017-10-13,23
60.0,2017-10-16,24
60.0,2017-10-17,25
60.0,2017-10-18,26
60.0,2017-10-19,27
65.0,2017-10-20,28
65.0,2017-10-23,29
70.0,2017-10-24,30
75.0,2017-10-25,31
80.0,2017-10-26,32
85.0,2017-10-27,33
75.0,2017-10-30,34
75.0,2017-10-31,35
80.0,2017-11-01,36
65.0,2017-11-02,37
50.0,2017-11-03,38
50.0,2017-11-06,39
65.0,2017-11-07,40
75.0,2017-11-08,41
85.0,2017-11-09,42
85.0,2017-11-10,43
85.0,2017-11-13,44
85.0,2017-11-14,45
75.0,2017-11-15,46
60.0,2017-11-16,47
55.0,2017-11-17,48
50.0,2017-11-20,49
50.0,2017-11-21,50
65.0,2017-11-22,51
40.0,2017-11-23,52
40.0,2017-11-24,53
25.0,2017-11-27,54
20.0,2017-11-28,55
25.0,2017-11-29,56
15.0,2017-11-30,57
10.0,2017-12-01,58
5.0,2017-12-04,59
0.0,2017-12-05,60
0.0,2017-12-06,61
0.0,2017-12-07,62
5.0,2017-12-08,63
15.0,2017-12-11,64
10.0,2017-12-12,65
15.0,2017-12-13,66
15.0,2017-12-14,67
15.0,2017-12-15,68
15.0,2017-12-18,69
20.0,2017-12-19,70
20.0,2017-12-20,71
30.0,2017-12-21,72
30.0,2017-12-22,73
30.0,2017-12-25,74
35.0,2017-12-26,75
35.0,2017-12-27,76
40.0,2017-12-28,77
45.0,2017-12-29,78
75.0,2018-01-02,79
85.0,2018-01-03,80
90.0,2018-01-04,81
90.0,2018-01-05,82
90.0,2018-01-08,83
95.0,2018-01-09,84
95.0,2018-01-10,85
95.0,2018-01-11,86
95.0,2018-01-12,87
80.0,2018-01-15,88
90.0,2018-01-16,89
95.0,2018-01-17,90
95.0,2018-01-18,91
95.0,2018-01-19,92
95.0,2018-01-22,93
95.0,2018-01-23,94
95.0,2018-01-24,95
90.0,2018-01-25,96
90.0,2018-01-26,97
80.0,2018-01-29,98
70.0,2018-01-30,99
65.0,2018-01-31,100
60.0,2018-02-01,101
60.0,2018-02-02,102
60.0,2018-02-05,103
40.0,2018-02-06,104
30.0,2018-02-07,105
20.0,2018-02-08,106
15.0,2018-02-09,107
5.0,2018-02-12,108
10.0,2018-02-13,109
15.0,2018-02-14,110
20.0,2018-02-22,111
25.0,2018-02-23,112
30.0,2018-02-26,113
30.0,2018-02-27,114
30.0,2018-02-28,115
30.0,2018-03-01,116
30.0,2018-03-02,117
35.0,2018-03-05,118
40.0,2018-03-06,119
40.0,2018-03-07,120
45.0,2018-03-08,121
55.0,2018-03-09,122
65.0,2018-03-12,123
65.0,2018-03-13,124
65.0,2018-03-14,125
60.0,2018-03-15,126
55.0,2018-03-16,127
55.0,2018-03-19,128
55.0,2018-03-20,129
50.0,2018-03-21,130
35.0,2018-03-22,131
25.0,2018-03-23,132
15.0,2018-03-26,133
20.0,2018-03-27,134
10.0,2018-03-28,135
10.0,2018-03-29,136
15.0,2018-03-30,137
15.0,2018-04-02,138
10.0,2018-04-03,139
10.0,2018-04-04,140
15.0,2018-04-09,141
25.0,2018-04-10,142
40.0,2018-04-11,143
45.0,2018-04-12,144
40.0,2018-04-13,145
30.0,2018-04-16,146
25.0,2018-04-17,147
30.0,2018-04-18,148
35.0,2018-04-19,149
25.0,2018-04-20,150
15.0,2018-04-23,151
30.0,2018-04-24,152
25.0,2018-04-25,153
25.0,2018-04-26,154
25.0,2018-04-27,155
25.0,2018-05-02,156
35.0,2018-05-03,157
35.0,2018-05-04,158
45.0,2018-05-07,159
50.0,2018-05-08,160
50.0,2018-05-09,161
65.0,2018-05-10,162
70.0,2018-05-11,163
80.0,2018-05-14,164
95.0,2018-05-15,165
90.0,2018-05-16,166
75.0,2018-05-17,167
90.0,2018-05-18,168
90.0,2018-05-21,169
90.0,2018-05-22,170
80.0,2018-05-23,171
70.0,2018-05-24,172
65.0,2018-05-25,173
50.0,2018-05-28,174
40.0,2018-05-29,175
20.0,2018-05-30,176
15.0,2018-05-31,177
10.0,2018-06-01,178
0.0,2018-06-04,179
