date,kdj_k,kdj_d,kdj_j,ind
2017-08-08,50.0,50.0,50.0,0
2017-08-09,43.055555555555586,47.6851851851852,33.79629629629635,1
2017-08-10,36.23058542413385,43.866985264834746,20.957785742732057,2
2017-08-11,26.173925636291212,37.9692987219869,2.5831794648998283,3
2017-08-14,30.19438179674316,35.37765974690566,19.82782589641816,4
2017-08-15,28.95311727626013,33.23614559002382,20.387060648732756,5
2017-08-16,38.90992132142826,35.12740416715863,46.47495562996751,6
2017-08-17,50.449751469187476,40.23485326783491,70.87954787189261,7
2017-08-18,58.63316764612498,46.36762472726493,83.16425348384509,8
2017-08-21,57.60729694926847,50.114182134599446,72.59352657860654,9
2017-08-22,45.81227204025299,48.68021210315063,40.076391914457716,10
2017-08-23,35.171144323131614,44.17718950981096,17.159053949772925,11
2017-08-24,24.962581063905894,37.7723200278426,-0.6568968639675319,12
2017-08-25,24.217478285028154,33.25403944690445,6.144355961275565,13
2017-08-28,38.1146824930491,34.87425379561933,44.59553988790864,14
2017-08-29,40.56130348021452,36.769937023817725,48.14403639300811,15
2017-08-30,49.01056595650668,40.85014666804737,65.33140453342529,16
2017-08-31,64.64649975331741,48.78226436313739,96.37497053367747,17
2017-09-01,71.30279470733981,56.28910781120486,101.33016849960973,18
2017-09-04,74.45827339463682,62.34549633901551,98.68382750587944,19
2017-09-05,79.12602841693739,67.93900703165613,101.50007118749988,20
2017-09-06,78.39171125231722,71.42324177187649,92.32865021319867,21
2017-09-07,76.41573020685884,73.08740458353728,83.07238145350198,22
2017-09-08,79.44623559684311,75.2070149213059,87.92467694791753,23
2017-09-11,83.32719336819244,77.91374107026807,94.15409796404117,24
2017-09-12,85.58446554579167,80.47064922877594,95.81209817982315,25
2017-09-13,84.44904963778853,81.7967826984468,89.75358351647199,26
2017-09-14,79.40167665621546,80.99841401770303,76.20820193324033,27
2017-09-15,77.35689334836806,79.78457379459138,72.50153245592142,28
2017-09-18,74.34353945996816,77.9708956830503,67.08882701380386,29
2017-09-19,69.36433983799859,75.10204373469973,57.88893204459629,30
2017-09-20,68.02507144315418,72.74305297085121,58.58910838776012,31
2017-09-21,65.68338096210282,70.38982896793507,56.27048495043829,32
2017-09-22,63.56914042162168,68.11626611916395,54.47488902653714,33
2017-09-25,60.05010967867152,65.42754730566648,49.29523442468161,34
2017-09-26,58.963447604711064,63.272847405348,50.344648003437186,35
2017-09-27,64.64229840314076,63.72933107127892,66.46823306686443,36
2017-09-28,63.990387990153565,63.81635004423714,64.3384638819864,37
2017-09-29,63.5557810481621,63.72949371221213,63.20835572006206,38
2017-10-09,74.25457866978917,67.23785536473781,88.28802527989188,39
2017-10-10,78.07448101795464,70.85006391581008,92.52331522224375,40
2017-10-11,83.39886036117608,75.03299606426542,100.13058895499739,41
2017-10-12,83.66941567938056,77.91180260263714,95.18464183286741,42
2017-10-13,79.01193368524365,78.27851296350597,80.47877512871898,43
2017-10-16,78.86509864730535,78.47404152477243,79.64721289237119,44
2017-10-17,75.4338752886798,77.46065277940822,71.38032030722295,45
