MASS,date,ind
90.0,2017-09-05,0
85.0,2017-09-06,1
75.0,2017-09-07,2
70.0,2017-09-08,3
65.0,2017-09-11,4
70.0,2017-09-12,5
75.0,2017-09-13,6
65.0,2017-09-14,7
65.0,2017-09-15,8
65.0,2017-09-18,9
60.0,2017-09-19,10
60.0,2017-09-20,11
55.0,2017-09-21,12
50.0,2017-09-22,13
50.0,2017-09-25,14
45.0,2017-09-26,15
45.0,2017-09-27,16
40.0,2017-09-28,17
40.0,2017-09-29,18
55.0,2017-10-09,19
75.0,2017-10-10,20
95.0,2017-10-11,21
95.0,2017-10-12,22
95.0,2017-10-13,23
90.0,2017-10-16,24
85.0,2017-10-17,25
95.0,2017-10-18,26
90.0,2017-10-19,27
85.0,2017-10-20,28
85.0,2017-10-23,29
90.0,2017-10-24,30
95.0,2017-10-25,31
95.0,2017-10-26,32
95.0,2017-10-27,33
90.0,2017-10-30,34
85.0,2017-10-31,35
80.0,2017-11-01,36
80.0,2017-11-02,37
70.0,2017-11-03,38
80.0,2017-11-06,39
90.0,2017-11-07,40
85.0,2017-11-08,41
95.0,2017-11-09,42
95.0,2017-11-10,43
95.0,2017-11-13,44
90.0,2017-11-14,45
80.0,2017-11-15,46
80.0,2017-11-16,47
85.0,2017-11-17,48
85.0,2017-11-20,49
90.0,2017-11-21,50
95.0,2017-11-22,51
85.0,2017-11-23,52
85.0,2017-11-24,53
65.0,2017-11-27,54
65.0,2017-11-28,55
55.0,2017-11-29,56
40.0,2017-11-30,57
25.0,2017-12-01,58
30.0,2017-12-04,59
30.0,2017-12-05,60
25.0,2017-12-06,61
15.0,2017-12-07,62
15.0,2017-12-08,63
25.0,2017-12-11,64
25.0,2017-12-12,65
35.0,2017-12-13,66
35.0,2017-12-14,67
35.0,2017-12-15,68
25.0,2017-12-18,69
30.0,2017-12-19,70
40.0,2017-12-20,71
55.0,2017-12-21,72
55.0,2017-12-22,73
60.0,2017-12-25,74
65.0,2017-12-26,75
60.0,2017-12-27,76
55.0,2017-12-28,77
60.0,2017-12-29,78
60.0,2018-01-02,79
70.0,2018-01-03,80
80.0,2018-01-04,81
80.0,2018-01-05,82
90.0,2018-01-08,83
95.0,2018-01-09,84
95.0,2018-01-10,85
90.0,2018-01-11,86
95.0,2018-01-12,87
95.0,2018-01-15,88
95.0,2018-01-16,89
90.0,2018-01-17,90
95.0,2018-01-18,91
95.0,2018-01-19,92
95.0,2018-01-22,93
95.0,2018-01-23,94
95.0,2018-01-24,95
85.0,2018-01-25,96
85.0,2018-01-26,97
75.0,2018-01-29,98
70.0,2018-01-30,99
65.0,2018-01-31,100
60.0,2018-02-01,101
60.0,2018-02-02,102
60.0,2018-02-05,103
40.0,2018-02-06,104
30.0,2018-02-07,105
20.0,2018-02-08,106
5.0,2018-02-09,107
5.0,2018-02-12,108
10.0,2018-02-13,109
15.0,2018-02-14,110
20.0,2018-02-22,111
25.0,2018-02-23,112
30.0,2018-02-26,113
30.0,2018-02-27,114
25.0,2018-02-28,115
30.0,2018-03-01,116
30.0,2018-03-02,117
30.0,2018-03-05,118
40.0,2018-03-06,119
35.0,2018-03-07,120
50.0,2018-03-08,121
65.0,2018-03-09,122
70.0,2018-03-12,123
75.0,2018-03-13,124
70.0,2018-03-14,125
70.0,2018-03-15,126
65.0,2018-03-16,127
65.0,2018-03-19,128
65.0,2018-03-20,129
50.0,2018-03-21,130
45.0,2018-03-22,131
25.0,2018-03-23,132
20.0,2018-03-26,133
25.0,2018-03-27,134
10.0,2018-03-28,135
20.0,2018-03-29,136
15.0,2018-03-30,137
10.0,2018-04-02,138
10.0,2018-04-03,139
5.0,2018-04-04,140
5.0,2018-04-09,141
25.0,2018-04-10,142
35.0,2018-04-11,143
30.0,2018-04-12,144
25.0,2018-04-13,145
25.0,2018-04-16,146
20.0,2018-04-17,147
10.0,2018-04-18,148
15.0,2018-04-19,149
15.0,2018-04-20,150
20.0,2018-04-23,151
25.0,2018-04-24,152
25.0,2018-04-25,153
20.0,2018-04-26,154
25.0,2018-04-27,155
30.0,2018-05-02,156
35.0,2018-05-03,157
35.0,2018-05-04,158
45.0,2018-05-07,159
50.0,2018-05-08,160
50.0,2018-05-09,161
60.0,2018-05-10,162
65.0,2018-05-11,163
75.0,2018-05-14,164
90.0,2018-05-15,165
80.0,2018-05-16,166
70.0,2018-05-17,167
80.0,2018-05-18,168
85.0,2018-05-21,169
80.0,2018-05-22,170
65.0,2018-05-23,171
55.0,2018-05-24,172
50.0,2018-05-25,173
45.0,2018-05-28,174
30.0,2018-05-29,175
15.0,2018-05-30,176
15.0,2018-05-31,177
10.0,2018-06-01,178
0.0,2018-06-04,179
