date,kdj_k,kdj_d,kdj_j,ind
2017-08-08,50.0,50.0,50.0,0
2017-08-09,51.394667899522574,50.46488929984086,53.254225098885996,1
2017-08-10,51.55182051989812,50.82719970652661,53.00106214664115,2
2017-08-11,37.43251703568957,46.362305482914266,19.57294014124018,3
2017-08-14,39.357623576332536,44.02741151405369,30.01804770089022,4
2017-08-15,46.1093783832776,44.72140047046166,48.885334208909484,5
2017-08-16,48.718262956175316,46.053687965699545,54.04741293712685,6
2017-08-17,59.104594360728,50.4039900973757,76.5058028874326,7
2017-08-18,66.1429031841101,55.6502944596205,87.12812063308931,8
2017-08-21,77.19426613872096,62.83161835265399,105.91956171085491,9
2017-08-22,83.62791113299252,69.76371594610018,111.35630150677721,10
2017-08-23,85.11404523646831,74.88049237622289,105.58115095695916,11
2017-08-24,80.63760784312159,76.79953086518913,88.31376179898649,12
2017-08-25,86.99262297806158,80.1972282361466,100.5834124618915,13
2017-08-28,88.96057812185971,83.11834486471764,100.64504463614384,14
2017-08-29,90.76600701965306,85.66756558302944,100.96288989290031,15
2017-08-30,91.37669370762545,87.57060829122811,98.98886454042011,16
2017-08-31,91.24942362392007,88.79688006879209,96.15451073417603,17
2017-09-01,91.44155194532817,89.67843736097079,94.96778111404294,18
2017-09-04,93.86201707861267,91.07296393351808,99.44012336880184,19
2017-09-05,94.76808048309188,92.30466945004268,99.69490254919029,20
2017-09-06,95.5274361144856,93.37892500485698,99.82445833374285,21
2017-09-07,92.54896806174716,93.10227269048704,91.44235880426743,22
2017-09-08,90.38864905076987,92.19773147724798,86.77048419781366,23
2017-09-11,90.5929672180084,91.66281005750146,88.45328153902224,24
2017-09-12,91.3488667602176,91.55816229174017,90.93027569717245,25
2017-09-13,92.61941141825075,91.91191200057703,94.03441025359817,26
2017-09-14,90.38702843505189,91.40361747873531,88.35385034768504,27
2017-09-15,83.47534547862546,88.76086014536536,72.90431614514566,28
2017-09-18,81.32604981674227,86.28259003582433,71.41296937857814,29
2017-09-19,78.29144061856897,83.61887356340587,67.63657472889517,30
2017-09-20,78.70557514205154,81.98110742295442,72.15451058024578,31
2017-09-21,76.42056926039693,80.12759470210193,69.00651837698695,32
2017-09-22,61.271790261137795,73.84232655511389,36.130717673185615,33
2017-09-25,44.73380961559695,64.1394875752749,5.9224536962410355,34
2017-09-26,36.021726735601234,54.76690062871701,-1.4686210506303183,35
2017-09-27,31.16782685715787,46.900542704863966,-0.2976048382543297,36
2017-09-28,24.753257651836034,39.518114353854656,-4.776455752201215,37
2017-09-29,25.72755568839665,34.92126146536865,7.340144134452643,38
2017-10-09,35.10538004167361,34.98263432413697,35.3508714767469,39
2017-10-10,45.05714691962194,38.34080518929863,58.48983038026857,40
2017-10-11,53.964873761807254,43.5488280468015,74.79696519181874,41
2017-10-12,58.96657004600905,48.68807537987069,79.52355937828578,42
2017-10-13,64.20039395358103,53.85884823777413,84.88348538519482,43
2017-10-16,62.51149120346585,56.74306255967137,74.04834849105481,44
2017-10-17,58.622460338213614,57.369528485852115,61.12832404293661,45
2017-10-18,60.21953717876522,58.31953138348982,64.01954876931603,46
2017-10-19,56.29091572306152,57.643326163347055,53.58609484249044,47
2017-10-20,57.31585520723549,57.53416917797654,56.8792272657534,48
2017-10-23,58.880072952818935,57.982803769590674,60.67461131927547,49
2017-10-24,63.167266202141406,59.71095791377425,70.07988277887571,50
2017-10-25,69.74246778651636,63.054794538021625,83.11781428350582,51
2017-10-26,77.10497362478534,67.73818756694287,95.8385457404703,52
2017-10-27,83.1208298741507,72.8657350026788,103.6310196170945,53
2017-10-30,77.161532533803,74.29766751305354,82.88926257530193,54
2017-10-31,73.87782495502091,74.15771999370934,73.31803487764407,55
2017-11-01,72.69747915826954,73.67097304856274,70.75049137768315,56
2017-11-02,66.20645575934807,71.18280061882452,56.25376604039519,57
2017-11-03,55.15834054510725,65.84131392758543,33.79239378015089,58
2017-11-06,55.21992615311646,62.300851336095775,41.05807578715783,59
2017-11-07,66.74276606573383,63.781489579308456,72.66531903858458,60
2017-11-08,70.54820159384367,66.03706025082019,79.57048427989065,61
2017-11-09,77.80224801921732,69.95878950695257,93.48916504374682,62
2017-11-10,82.97028354221476,74.2959541853733,100.31894225589767,63
2017-11-13,88.21463565551721,78.93551467542127,106.77287761570909,64
2017-11-14,85.37493374157863,81.08198769747372,93.96082582978846,65
2017-11-15,74.74525302543073,78.96974280679272,66.29627346270675,66
2017-11-16,66.60188076222678,74.84712212527074,50.111398036138866,67
2017-11-17,55.89160582441863,68.52861669165337,30.617584089949162,68
2017-11-20,53.514635572693265,63.52395631866666,33.49599408074647,69
2017-11-21,57.251796388675686,61.433236342003006,48.88891648202103,70
2017-11-22,65.61192647428287,62.826133052762955,71.18351331732268,71
2017-11-23,48.09281764364152,57.915027916389135,28.448397098146273,72
2017-11-24,39.01723752099575,51.61576445125801,13.82018366047123,73
2017-11-27,27.729552268797587,43.653693723771205,-4.118730641149654,74
2017-11-28,25.807188431686477,37.70485862640963,2.0118480422401603,75
2017-11-29,25.46075381340718,33.62349035540881,9.135280729403917,76
2017-11-30,20.627566421326495,29.291515710714705,3.299667842550079,77
2017-12-01,17.501182147426253,25.361404522951887,1.7807373963749882,78
2017-12-04,13.635704492201233,21.452837846035003,-1.9985622154663076,79
2017-12-05,9.795008044362904,17.56689457881097,-5.748765024533228,80
2017-12-06,13.226281994860134,16.120023717494025,7.438798549592356,81
2017-12-07,11.785324746964832,14.67512406065096,6.005726119592577,82
2017-12-08,13.877576105899724,14.409274742400548,12.81417883289808,83
2017-12-11,20.75365736717592,16.524068950659004,29.21283420020975,84
2017-12-12,18.49181110113977,17.17998300081926,21.11546730178079,85
2017-12-13,20.934438727731095,18.431468243123206,25.940379696946877,86
2017-12-14,20.67911596438848,19.18068415021163,23.67597959274218,87
2017-12-15,15.835090122586537,18.065486141003266,11.374298085753082,88
2017-12-18,12.992896961157024,16.37462308105452,6.229444721362036,89
2017-12-19,16.17256960531038,16.30727192247314,15.903164970984854,90
2017-12-20,17.140611343051827,16.585051729332704,18.251730570490068,91
2017-12-21,25.777579373989145,19.64922761088485,38.03428290019774,92
2017-12-22,32.5757424102679,23.958065877345867,49.81109547611196,93
2017-12-25,31.573147205405185,26.496426320032306,41.72658897615095,94
2017-12-26,40.528212748397934,31.17368846282085,59.237261319552104,95
2017-12-27,35.31947716390786,32.55561802984985,40.84719543202388,96
2017-12-28,43.54442255434829,36.21855287134933,58.19616192034621,97
2017-12-29,54.328001362977204,42.255035701891956,78.4739326851477,98
2018-01-02,69.29902314961271,51.26969818446554,105.35767307990704,99
2018-01-03,76.66698038721333,59.7354589187148,110.53002332421039,100
2018-01-04,82.73290939145154,67.40127574296038,113.39617668843388,101
2018-01-05,86.16255311335796,73.65503486642623,111.17758960722142,102
2018-01-08,90.09175989119271,79.13394320801505,112.00739325754799,103
2018-01-09,92.71373382503924,83.66054008035644,110.82012131440484,104
2018-01-10,93.55563849049084,86.9589062170679,106.74910303733671,105
2018-01-11,94.78156770050978,89.56646004488186,105.21178301176565,106
2018-01-12,95.3292552418171,91.48739177719361,103.01298217106404,107
2018-01-15,91.22028231074407,91.39835528837709,90.864136355478,108
2018-01-16,93.04488026958933,91.94719694878117,95.24024691120565,109
2018-01-17,91.96655259811774,91.95364883189336,91.99236013056651,110
2018-01-18,94.36244000855623,92.75657922411432,97.57416157744007,111
2018-01-19,94.74041945748661,93.41785930190508,97.38553976864966,112
2018-01-22,96.21126853926745,94.3489957143592,99.93581418908394,113
2018-01-23,97.38951995531161,95.36250379467668,101.4435522765815,114
2018-01-24,97.1673199492763,95.96410917954321,99.57374148874248,115
2018-01-25,95.60193385191394,95.84338407033346,95.11903341507491,116
2018-01-26,95.08659978884552,95.5911226431708,94.07755408019491,117
2018-01-29,88.9063290411595,93.36285810916704,79.99327090514441,118
2018-01-30,78.95043154466204,88.55871592099871,59.73386279198871,119
2018-01-31,70.00159108344353,82.37300764181364,45.258757966703286,120
2018-02-01,57.42473161245269,74.05691563202666,24.16036357330475,121
2018-02-02,51.04553895909942,66.3864567410509,20.36370339519644,122
2018-02-05,50.622174414306656,61.13169596546949,29.603131311981002,123
2018-02-06,34.710071903570096,52.324487944836356,-0.5187601789624239,124
