MASS,date,ind
80.0,2017-09-06,0
80.0,2017-09-07,1
80.0,2017-09-08,2
90.0,2017-09-11,3
90.0,2017-09-12,4
90.0,2017-09-13,5
80.0,2017-09-14,6
80.0,2017-09-15,7
65.0,2017-09-18,8
60.0,2017-09-19,9
60.0,2017-09-20,10
65.0,2017-09-21,11
60.0,2017-09-22,12
55.0,2017-09-25,13
55.0,2017-09-26,14
60.0,2017-09-27,15
55.0,2017-09-28,16
55.0,2017-09-29,17
50.0,2017-10-09,18
50.0,2017-10-10,19
35.0,2017-10-11,20
30.0,2017-10-12,21
35.0,2017-10-13,22
30.0,2017-10-16,23
35.0,2017-10-17,24
40.0,2017-10-18,25
45.0,2017-10-19,26
65.0,2017-10-20,27
65.0,2017-10-23,28
60.0,2017-10-24,29
60.0,2017-10-25,30
85.0,2017-10-26,31
90.0,2017-10-27,32
85.0,2017-10-30,33
95.0,2017-10-31,34
90.0,2017-11-01,35
80.0,2017-11-02,36
65.0,2017-11-03,37
65.0,2017-11-06,38
65.0,2017-11-07,39
65.0,2017-11-08,40
55.0,2017-11-09,41
50.0,2017-11-10,42
50.0,2017-11-13,43
55.0,2017-11-14,44
50.0,2017-11-15,45
45.0,2017-11-16,46
20.0,2017-11-17,47
5.0,2017-11-20,48
5.0,2017-11-21,49
5.0,2017-11-22,50
0.0,2017-11-23,51
5.0,2017-11-24,52
5.0,2017-11-27,53
15.0,2017-11-28,54
10.0,2017-11-29,55
10.0,2017-11-30,56
10.0,2017-12-01,57
5.0,2017-12-04,58
0.0,2017-12-05,59
5.0,2017-12-06,60
10.0,2017-12-07,61
15.0,2017-12-08,62
20.0,2017-12-11,63
25.0,2017-12-12,64
25.0,2017-12-13,65
25.0,2017-12-14,66
25.0,2017-12-15,67
30.0,2017-12-18,68
40.0,2017-12-19,69
40.0,2017-12-20,70
40.0,2017-12-21,71
40.0,2017-12-22,72
25.0,2017-12-25,73
30.0,2017-12-26,74
30.0,2017-12-27,75
35.0,2017-12-28,76
40.0,2017-12-29,77
50.0,2018-01-02,78
50.0,2018-01-03,79
50.0,2018-01-04,80
45.0,2018-01-05,81
55.0,2018-01-08,82
45.0,2018-01-09,83
50.0,2018-01-10,84
50.0,2018-01-11,85
65.0,2018-01-12,86
55.0,2018-01-15,87
60.0,2018-01-16,88
75.0,2018-01-17,89
80.0,2018-01-18,90
80.0,2018-01-19,91
80.0,2018-01-22,92
80.0,2018-01-23,93
75.0,2018-01-24,94
60.0,2018-01-25,95
60.0,2018-01-26,96
50.0,2018-01-29,97
50.0,2018-01-30,98
35.0,2018-01-31,99
30.0,2018-02-01,100
25.0,2018-02-02,101
30.0,2018-02-05,102
25.0,2018-02-06,103
15.0,2018-02-07,104
10.0,2018-02-08,105
5.0,2018-02-09,106
5.0,2018-02-12,107
10.0,2018-02-13,108
15.0,2018-02-14,109
20.0,2018-02-22,110
25.0,2018-02-23,111
40.0,2018-02-26,112
45.0,2018-02-27,113
50.0,2018-02-28,114
60.0,2018-03-01,115
75.0,2018-03-02,116
75.0,2018-03-05,117
65.0,2018-03-06,118
65.0,2018-03-07,119
65.0,2018-03-08,120
60.0,2018-03-09,121
65.0,2018-03-12,122
75.0,2018-03-13,123
75.0,2018-03-14,124
70.0,2018-03-15,125
90.0,2018-03-16,126
95.0,2018-03-19,127
90.0,2018-03-20,128
85.0,2018-03-21,129
85.0,2018-03-22,130
75.0,2018-03-23,131
75.0,2018-03-26,132
75.0,2018-03-27,133
70.0,2018-03-28,134
70.0,2018-03-29,135
70.0,2018-03-30,136
65.0,2018-04-02,137
75.0,2018-04-03,138
75.0,2018-04-04,139
75.0,2018-04-09,140
70.0,2018-04-10,141
70.0,2018-04-11,142
65.0,2018-04-12,143
60.0,2018-04-13,144
45.0,2018-04-16,145
40.0,2018-04-17,146
35.0,2018-04-18,147
40.0,2018-04-19,148
35.0,2018-04-20,149
35.0,2018-04-23,150
40.0,2018-04-24,151
40.0,2018-04-25,152
35.0,2018-04-26,153
25.0,2018-04-27,154
10.0,2018-05-02,155
15.0,2018-05-03,156
15.0,2018-05-04,157
20.0,2018-05-07,158
25.0,2018-05-08,159
25.0,2018-05-09,160
30.0,2018-05-10,161
25.0,2018-05-11,162
55.0,2018-05-14,163
65.0,2018-05-15,164
60.0,2018-05-16,165
60.0,2018-05-17,166
65.0,2018-05-18,167
70.0,2018-05-21,168
65.0,2018-05-22,169
50.0,2018-05-23,170
40.0,2018-05-24,171
50.0,2018-05-25,172
45.0,2018-05-28,173
35.0,2018-05-29,174
15.0,2018-05-30,175
15.0,2018-05-31,176
5.0,2018-06-01,177
10.0,2018-06-04,178
0.0,2018-06-05,179
