MASS,date,ind
95.0,2017-09-06,0
80.0,2017-09-07,1
75.0,2017-09-08,2
80.0,2017-09-11,3
80.0,2017-09-12,4
80.0,2017-09-13,5
70.0,2017-09-14,6
60.0,2017-09-15,7
60.0,2017-09-18,8
55.0,2017-09-19,9
55.0,2017-09-20,10
50.0,2017-09-21,11
45.0,2017-09-22,12
25.0,2017-09-25,13
20.0,2017-09-26,14
15.0,2017-09-27,15
5.0,2017-09-28,16
15.0,2017-09-29,17
25.0,2017-10-09,18
40.0,2017-10-10,19
50.0,2017-10-11,20
55.0,2017-10-12,21
65.0,2017-10-13,22
60.0,2017-10-16,23
60.0,2017-10-17,24
60.0,2017-10-18,25
60.0,2017-10-19,26
65.0,2017-10-20,27
65.0,2017-10-23,28
70.0,2017-10-24,29
75.0,2017-10-25,30
80.0,2017-10-26,31
85.0,2017-10-27,32
75.0,2017-10-30,33
75.0,2017-10-31,34
80.0,2017-11-01,35
65.0,2017-11-02,36
50.0,2017-11-03,37
50.0,2017-11-06,38
65.0,2017-11-07,39
75.0,2017-11-08,40
85.0,2017-11-09,41
85.0,2017-11-10,42
85.0,2017-11-13,43
85.0,2017-11-14,44
75.0,2017-11-15,45
60.0,2017-11-16,46
55.0,2017-11-17,47
50.0,2017-11-20,48
50.0,2017-11-21,49
65.0,2017-11-22,50
40.0,2017-11-23,51
40.0,2017-11-24,52
25.0,2017-11-27,53
20.0,2017-11-28,54
25.0,2017-11-29,55
15.0,2017-11-30,56
10.0,2017-12-01,57
5.0,2017-12-04,58
0.0,2017-12-05,59
0.0,2017-12-06,60
0.0,2017-12-07,61
5.0,2017-12-08,62
15.0,2017-12-11,63
10.0,2017-12-12,64
15.0,2017-12-13,65
15.0,2017-12-14,66
15.0,2017-12-15,67
15.0,2017-12-18,68
20.0,2017-12-19,69
20.0,2017-12-20,70
30.0,2017-12-21,71
30.0,2017-12-22,72
30.0,2017-12-25,73
35.0,2017-12-26,74
35.0,2017-12-27,75
40.0,2017-12-28,76
45.0,2017-12-29,77
75.0,2018-01-02,78
85.0,2018-01-03,79
90.0,2018-01-04,80
90.0,2018-01-05,81
90.0,2018-01-08,82
95.0,2018-01-09,83
95.0,2018-01-10,84
95.0,2018-01-11,85
95.0,2018-01-12,86
80.0,2018-01-15,87
90.0,2018-01-16,88
95.0,2018-01-17,89
95.0,2018-01-18,90
95.0,2018-01-19,91
95.0,2018-01-22,92
95.0,2018-01-23,93
95.0,2018-01-24,94
90.0,2018-01-25,95
90.0,2018-01-26,96
80.0,2018-01-29,97
70.0,2018-01-30,98
65.0,2018-01-31,99
60.0,2018-02-01,100
60.0,2018-02-02,101
60.0,2018-02-05,102
40.0,2018-02-06,103
30.0,2018-02-07,104
20.0,2018-02-08,105
15.0,2018-02-09,106
5.0,2018-02-12,107
10.0,2018-02-13,108
15.0,2018-02-14,109
20.0,2018-02-22,110
25.0,2018-02-23,111
30.0,2018-02-26,112
30.0,2018-02-27,113
30.0,2018-02-28,114
30.0,2018-03-01,115
30.0,2018-03-02,116
35.0,2018-03-05,117
40.0,2018-03-06,118
40.0,2018-03-07,119
45.0,2018-03-08,120
55.0,2018-03-09,121
65.0,2018-03-12,122
65.0,2018-03-13,123
65.0,2018-03-14,124
60.0,2018-03-15,125
55.0,2018-03-16,126
55.0,2018-03-19,127
55.0,2018-03-20,128
50.0,2018-03-21,129
35.0,2018-03-22,130
25.0,2018-03-23,131
15.0,2018-03-26,132
20.0,2018-03-27,133
10.0,2018-03-28,134
10.0,2018-03-29,135
15.0,2018-03-30,136
15.0,2018-04-02,137
10.0,2018-04-03,138
10.0,2018-04-04,139
15.0,2018-04-09,140
25.0,2018-04-10,141
40.0,2018-04-11,142
45.0,2018-04-12,143
40.0,2018-04-13,144
30.0,2018-04-16,145
25.0,2018-04-17,146
30.0,2018-04-18,147
35.0,2018-04-19,148
25.0,2018-04-20,149
15.0,2018-04-23,150
30.0,2018-04-24,151
25.0,2018-04-25,152
25.0,2018-04-26,153
25.0,2018-04-27,154
25.0,2018-05-02,155
35.0,2018-05-03,156
35.0,2018-05-04,157
45.0,2018-05-07,158
50.0,2018-05-08,159
50.0,2018-05-09,160
65.0,2018-05-10,161
70.0,2018-05-11,162
80.0,2018-05-14,163
95.0,2018-05-15,164
90.0,2018-05-16,165
75.0,2018-05-17,166
90.0,2018-05-18,167
90.0,2018-05-21,168
90.0,2018-05-22,169
80.0,2018-05-23,170
70.0,2018-05-24,171
65.0,2018-05-25,172
50.0,2018-05-28,173
40.0,2018-05-29,174
20.0,2018-05-30,175
15.0,2018-05-31,176
10.0,2018-06-01,177
10.0,2018-06-04,178
0.0,2018-06-05,179
